21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:56.195 > -102,-311
21:17:56.195 > -344,-539
21:17:56.195 > -580,-789
21:17:56.195 > -792,-942
21:17:56.195 > -977,-1100
21:17:56.206 > -1133,-1225
21:17:56.206 > -1228,-1298
21:17:56.206 > -1280,-1293
21:17:56.206 > -1306,-1238
21:17:56.206 > -1261,-1127
21:17:56.206 > -1139,-959
21:17:56.206 > -975,-790
21:17:56.206 > -783,-526
21:17:56.206 > -557,-288
21:17:56.206 > -309,-59
21:17:56.206 > -65,166
21:17:56.206 > 172,420
21:17:56.217 > 400,670
21:17:56.217 > 628,875
21:17:56.217 > 855,1044
21:17:56.217 > 1044,1182
21:17:56.217 > 1177,1289
21:17:56.217 > 1255,1318
21:17:56.217 > 1276,1266
21:17:56.217 > 1253,1192
21:17:56.217 > 1181,1068
21:17:56.217 > 1039,883
21:17:56.217 > 856,729
21:17:56.217 > 675,480
21:17:56.217 > 468,247
21:17:56.217 > 249,17
21:17:56.217 > 10,-219
21:17:56.228 > -253,-510
21:17:56.228 > -496,-748
21:17:56.228 > -735,-936
21:17:56.228 > -948,-1105
21:17:56.228 > -1117,-1207
21:17:56.228 > -1218,-1264
21:17:56.228 > -1261,-1287
21:17:56.228 > -1284,-1232
21:17:56.228 > -1230,-1089
21:17:56.228 > -1113,-1020
21:17:56.228 > -994,-849
21:17:56.239 > -849,-638
21:17:56.239 > -644,-394
21:17:56.239 > -411,-140
21:17:56.239 > -145,120
21:17:56.239 > 123,384
21:17:56.239 > 371,618
21:17:56.239 > 617,873
21:17:56.239 > 832,983
21:17:56.239 > 1004,1140
21:17:56.239 > 1120,1232
21:17:56.239 > 1203,1276
21:17:56.239 > 1243,1279
21:17:56.239 > 1251,1225
21:17:56.239 > 1221,1142
21:17:56.250 > 1120,972
21:17:56.250 > 977,817
21:17:56.250 > 783,531
21:17:56.250 > 544,298
21:17:56.250 > 280,38
21:17:56.250 > 31,-208
21:17:56.250 > -217,-449
21:17:56.250 > -449,-684
21:17:56.250 > -671,-866
21:17:56.250 > -879,-1042
21:17:56.250 > -1046,-1154
21:17:56.250 > -1182,-1285
21:17:56.250 > -1265,-1297
21:17:56.261 > -1304,-1290
21:17:56.261 > -1276,-1207
21:17:56.261 > -1196,-1062
21:17:56.261 > -1057,-874
21:17:56.261 > -874,-657
21:17:56.261 > -665,-431
21:17:56.261 > -425,-152
21:17:56.261 > -183,39
21:17:56.261 > 51,294
21:17:56.261 > 278,520
21:17:56.261 > 523,749
21:17:56.261 > 745,979
21:17:56.261 > 942,1127
21:17:56.261 > 1110,1245
21:17:56.272 > 1219,1270
21:17:56.272 > 1278,1299
21:17:56.272 > 1284,1214
21:17:56.272 > 1236,1148
21:17:56.272 > 1117,984
21:17:56.272 > 981,815
21:17:56.272 > 808,581
21:17:56.272 > 582,366
21:17:56.272 > 336,125
21:17:56.272 > 97,-140
21:17:56.272 > -123,-351
21:17:56.272 > -371,-619
21:17:56.272 > -624,-839
21:17:56.272 > -857,-1026
21:17:56.283 > -1023,-1174
21:17:56.283 > -1151,-1247
21:17:56.283 > -1245,-1288
21:17:56.283 > -1277,-1254
21:17:56.283 > -1260,-1217
21:17:56.283 > -1197,-1066
21:17:56.283 > -1083,-931
21:17:56.283 > -928,-744
21:17:56.283 > -757,-506
21:17:56.283 > -513,-275
